CustomerID,Age,Annual_Income_k$,Spending_Score,Purchase_Frequency,Total_Spent
CUST-1000,56,68,3,9,1624
CUST-1001,69,72,77,34,2220
CUST-1002,46,81,92,12,2443
CUST-1003,32,118,62,35,5236
CUST-1004,60,60,63,35,5860
CUST-1005,25,38,25,1,1340
CUST-1006,38,128,56,40,160
CUST-1007,56,46,33,22,9230
CUST-1008,36,61,38,29,1739
CUST-1009,40,100,6,8,6285
CUST-1010,28,37,58,11,8070
CUST-1011,28,80,44,41,1352
CUST-1012,41,41,45,37,4303
CUST-1013,53,120,32,14,8463
CUST-1014,57,16,45,30,9750
CUST-1015,41,104,61,35,3649
CUST-1016,20,31,47,21,4297
CUST-1017,39,118,21,37,7109
CUST-1018,19,47,80,5,6767
CUST-1019,41,23,85,19,2422
CUST-1020,61,57,75,14,9928
CUST-1021,47,132,36,26,4190
CUST-1022,55,62,99,4,7060
CUST-1023,19,53,19,25,3104
CUST-1024,38,107,20,45,5236
CUST-1025,50,56,57,42,429
CUST-1026,29,133,18,25,3740
CUST-1027,39,40,47,18,8082
CUST-1028,61,113,49,40,4207
CUST-1029,42,64,14,8,1441
CUST-1030,66,39,15,39,8507
CUST-1031,44,38,31,40,438
CUST-1032,59,27,1,14,5995
CUST-1033,45,74,54,32,2808
CUST-1034,33,136,3,38,1850
CUST-1035,32,21,16,33,5704
CUST-1036,64,71,87,23,2521
CUST-1037,68,50,57,15,7219
CUST-1038,61,59,75,33,9001
CUST-1039,69,34,12,25,5419
CUST-1040,20,79,74,17,6709
CUST-1041,54,22,96,33,5487
CUST-1042,68,124,16,47,4093
CUST-1043,24,30,72,2,8780
CUST-1044,38,28,76,14,8144
CUST-1045,26,90,24,40,8338
CUST-1046,56,129,28,40,4973
CUST-1047,35,101,8,39,4906
CUST-1048,21,29,92,6,8692
CUST-1049,42,106,36,6,6013
CUST-1050,31,112,90,3,7224
CUST-1051,67,80,8,7,3257
CUST-1052,26,46,58,8,490
CUST-1053,43,101,60,42,4530
CUST-1054,19,77,50,15,8920
CUST-1055,37,100,28,47,7786
CUST-1056,45,65,92,29,4332
CUST-1057,64,39,41,33,8107
CUST-1058,24,72,64,30,1621
CUST-1059,61,77,27,39,9118
CUST-1060,25,76,63,27,1600
CUST-1061,64,139,17,36,6837
CUST-1062,52,36,73,29,3394
CUST-1063,31,72,33,38,5185
CUST-1064,34,72,84,33,2519
CUST-1065,53,100,77,37,9226
CUST-1066,67,63,92,27,3142
CUST-1067,57,66,29,33,4597
CUST-1068,21,56,13,4,1566
CUST-1069,19,84,46,22,3661
CUST-1070,23,29,35,2,714
CUST-1071,59,68,6,10,5492
CUST-1072,21,121,82,5,7793
CUST-1073,46,74,69,10,9474
CUST-1074,35,115,47,33,3323
CUST-1075,43,111,25,38,7238
CUST-1076,61,22,66,13,2767
